,Beta [degrees],Cv [-],Tao [degrees],Fn [-],H1/3 /b [-],Ra/wb3 [-]
150,30,1,3,1.1899,0.694,0.093
151,30,1.2,3,0.595,0.219,0.012
152,30,1.2,3,0.595,0.362,0.024
153,30,1.2,3,0.595,0.634,0.027
154,30,1.2,3,0.8924,0.219,0.02
155,30,1.2,3,0.8924,0.38,0.046
156,30,1.2,3,0.8924,0.587,0.06
157,30,1.2,3,1.1899,0.228,0.025
158,30,1.2,3,1.1899,0.33,0.055
159,30,0.8,2,0.595,0.215,0.012
160,30,0.8,2,0.595,0.351,0.02
161,30,0.8,2,0.595,0.698,0.032
162,30,0.8,2,0.8924,0.236,0.017
163,30,0.8,2,0.8924,0.42,0.033
164,30,0.8,2,0.8924,0.634,0.04
165,30,0.8,2,1.1899,0.225,0.065
