,Beta [degrees],Cv [-],LCG [%L],Tao [degrees],Fn [-],H1/3 /b [-],ncg [g]
178,20,0.8,35.6,3,0.594961647,0.226,0.09
179,20,0.8,35.6,3,0.594961647,0.399,0.22
180,20,0.8,35.6,3,0.594961647,0.705,0.35
181,20,0.8,35.6,3,0.89244247,0.238,0.15
182,20,0.8,35.6,3,0.89244247,0.355,0.25
183,20,0.8,35.6,3,0.89244247,0.62,0.63
184,20,0.8,38.6,3,1.189923294,0.221,0.27
185,20,0.8,38.6,3,1.189923294,0.401,1.02
186,20,0.8,38.6,3,1.189923294,0.602,1.05
187,20,1,38.6,3,0.594961647,0.321,0.33
188,20,1,38.6,3,0.594961647,0.39,0.37
189,20,1,38.6,3,0.594961647,0.659,0.98
190,20,1,38.6,3,0.89244247,0.289,0.37
191,20,1,38.6,3,0.89244247,0.414,0.58
192,20,1,38.6,3,0.89244247,0.675,1.08
193,20,1,40.9,3,1.189923294,0.332,0.46
194,20,1,40.9,3,1.189923294,0.483,0.72
195,20,1,40.9,3,1.189923294,0.602,0.83
196,20,1.2,40.6,3,0.594961647,0.295,0.25
197,20,1.2,40.6,3,0.594961647,0.485,0.5
198,20,1.2,40.6,3,0.594961647,0.688,0.71
199,20,1.2,41.7,3,0.89244247,0.275,0.21
200,20,1.2,41.7,3,0.89244247,0.479,0.56
201,20,1.2,41.7,3,0.89244247,0.636,0.97
202,20,1.2,43.3,3,1.189923294,0.228,0.23
203,20,1,38.1,3,0.464070084,0.278,0.39
204,20,1,38.1,3,0.464070084,0.46,1.32
205,20,1,38.1,3,0.464070084,0.647,1.73
206,20,1,40.7,3,0.693130319,0.298,0.72
207,20,1,40.7,3,0.693130319,0.675,1.72
208,20,1,40,3,0.925165361,0.258,0.63
209,20,1,40,3,0.925165361,0.487,1.32
210,20,1,40,3,0.925165361,0.666,1.76
211,20,1.2,32.1,3,0.464070084,0.216,0.11
212,20,1.2,32.1,3,0.464070084,0.487,0.64
213,20,1.2,32.1,3,0.464070084,0.637,0.92
214,20,1.2,32.4,3,0.705029551,0.259,0.2
215,20,1.2,32.4,3,0.705029551,0.401,0.59
216,20,1.2,32.4,3,0.705029551,0.685,0.44
217,20,1.2,32.9,3,0.925165361,0.222,0.18
218,20,1.2,32.9,3,0.925165361,0.481,0.95
219,30,0.8,39.4,3,0.594961647,0.269,0.17
